frame_idx,sample_idx,global_sample_idx,global_time_s,beacon_count_raw,beacon_pulse_count,I_u16,Q_u16,beacon_sample_offset,is_beacon_sample
0,0,0,0.000000,1273,0,6,1863,,0
0,1,1,0.003906,1273,0,0,4090,,0
0,2,2,0.007812,1273,0,0,4090,,0
0,3,3,0.011719,1273,0,0,4090,,0
0,4,4,0.015625,1273,0,0,4090,,0
0,5,5,0.019531,1273,0,0,4090,,0
0,6,6,0.023438,1273,0,0,4090,,0
0,7,7,0.027344,1273,0,0,4090,,0
0,8,8,0.031250,1273,0,0,4090,,0
0,9,9,0.035156,1273,0,0,4090,,0
0,10,10,0.039062,1273,0,0,4090,,0
0,11,11,0.042969,1273,0,0,4090,,0
0,12,12,0.046875,1273,0,0,4090,,0
0,13,13,0.050781,1273,0,0,4090,,0
0,14,14,0.054688,1273,0,0,4090,,0
0,15,15,0.058594,1273,0,0,4090,,0
0,16,16,0.062500,1273,0,0,4090,,0
0,17,17,0.066406,1273,0,0,4090,,0
0,18,18,0.070312,1273,0,1792,4089,,0
0,19,19,0.074219,1273,0,0,4089,,0
0,20,20,0.078125,1273,0,0,4089,,0
0,21,21,0.082031,1273,0,0,4089,,0
0,22,22,0.085938,1273,0,0,4089,,0
0,23,23,0.089844,1273,0,0,4090,,0
0,24,24,0.093750,1273,0,0,4090,,0
0,25,25,0.097656,1273,0,0,4090,,0
0,26,26,0.101562,1273,0,0,4090,,0
0,27,27,0.105469,1273,0,0,4091,,0
0,28,28,0.109375,1273,0,0,4091,,0
0,29,29,0.113281,1273,0,0,4092,,0
0,30,30,0.117188,1273,0,0,4092,,0
0,31,31,0.121094,1273,0,1792,4090,,0
0,32,32,0.125000,1273,0,0,4091,,0
0,33,33,0.128906,1273,0,0,4091,,0
0,34,34,0.132812,1273,0,0,4090,,0
0,35,35,0.136719,1273,0,0,4090,,0
0,36,36,0.140625,1273,0,0,4090,,0
0,37,37,0.144531,1273,0,0,4090,,0
0,38,38,0.148438,1273,0,0,4090,,0
0,39,39,0.152344,1273,0,0,4090,,0
0,40,40,0.156250,1273,0,0,4090,,0
0,41,41,0.160156,1273,0,0,4090,,0
0,42,42,0.164062,1273,0,0,4090,,0
0,43,43,0.167969,1273,0,0,4090,,0
0,44,44,0.171875,1273,0,0,4090,,0
0,45,45,0.175781,1273,0,1792,4089,,0
0,46,46,0.179688,1273,0,256,4090,,0
0,47,47,0.183594,1273,0,0,4090,,0
0,48,48,0.187500,1273,0,0,4090,,0
