Beacon, I_payload,Q_payload
7336,532,1920
7336,754,1082
7336,1478,636
7336,2358,820
7336,2896,1432
7336,2956,2240
7336,2530,2862
7336,2116,3206
7336,1676,3200
7336,1172,2684
7336,908,1954
7336,1028,1230
7336,1572,842
7336,2262,820
7336,2778,1130
7336,2994,1674
7336,3042,2284
7336,2580,2756
7336,2038,2962
7336,1362,2772
7336,896,2362
7336,844,1922
7336,872,1288
7336,1158,920
7336,1734,838
7336,2300,848
7336,2772,1058
7336,3210,1472
7336,3416,1990
7336,3294,2530
7336,3032,2960
7336,2636,3194
7336,2098,3280
7336,1384,3090
7336,976,2866
7336,812,2628
7336,598,2262
7336,530,1726
7336,730,1438
7336,938,1080
7336,1196,838
7336,1594,766
7336,2050,812
7336,2440,924
7336,2698,1036
7336,2966,1226
7336,3168,1486
7336,3322,1758
7336,3542,2032
7336,3644,2258
7336,3568,2508
7336,3442,2746
7336,3216,2890
7336,3092,3046
7336,2972,3212
7336,2838,3262
7336,2794,3318
7336,2530,3282
7336,2444,3240
7336,2454,3210
7336,2284,3204
7336,2042,3094
7336,1928,3010
7336,1922,2918
7336,2036,2860
7336,2058,2868
7336,2138,2798
7336,2234,2724
7336,2238,2630
7336,2156,2546
7336,2098,2476
7336,2154,2372
7336,2126,2254
7336,1996,2144
7336,2128,2086
7336,2208,1956
7336,2196,1780
7336,2234,1640
7336,2242,1476
7336,2222,1352
7336,2306,1200
7336,2216,976
7336,1988,762
7336,1832,598
7336,1736,438
7336,1622,408
7336,1358,402
7336,1102,386
7336,736,406
7336,416,468
7336,204,654
7336,184,1094
7336,78,1472
7336,50,1784
7336,116,2100
7336,210,2374
7336,466,2698
7336,956,2984
7336,1674,3180
7336,2086,3060
7336,2588,2880
7336,2954,2500
7336,3032,1986
7336,2848,1484
7336,2654,1062
7336,2276,798
7336,1772,774
7336,1262,848
7336,974,1260
7336,850,1802
7336,798,2288
7336,1208,2800
7336,1754,3036
7336,2156,2918
7336,2606,2652
7336,2926,2150
7336,2886,1558
7336,2578,1048
7336,2054,860
7336,1370,932
7336,786,1340
7336,626,1984
7336,936,2780
7336,1514,3302
7336,2392,3386
7336,2962,3016
7336,3242,2306
7336,3148,1522
7336,2628,982
7336,1820,890
7336,1194,1356
7336,1026,2200
7336,1506,3052
7336,2250,3438
7336,2974,3258
7336,3436,2602
7336,3338,1696
7336,2700,1030
7336,1728,792
7336,1144,1268
7336,1254,2334
7336,1758,3066
7336,2700,3266
7336,3324,2748
7336,3412,1830
7336,2954,1084
7336,1986,950
7336,1216,1516
7336,1042,2348
7336,1650,3070
7336,2590,3156
7336,3154,2530
7336,3094,1608
7336,2316,990
7336,1326,1100
7336,890,1942
7336,1308,2854
7336,2342,3252
7336,3144,2760
7336,3324,1702
7336,2628,920
7336,1494,926
7336,888,1830
7336,1146,2864
7336,2172,3326
7336,2982,2838
7336,3074,1802
7336,2456,1078
7336,1514,1188
7336,1142,2022
7336,1762,2794
7336,2734,2878
7336,3148,2172
7336,2720,1270
7336,1714,1032
7336,1076,1804
7336,1276,2820
7336,2036,3220
7336,2994,2672
7336,3110,1636
7336,2160,976
7336,1102,1274
7336,958,2396
7336,1790,3220
7336,2708,3010
7336,3124,2062
7336,2456,1178
7336,1436,1250
7336,1046,2208
7336,1498,3014
7336,2656,3060
7336,3196,2182
7336,2636,1190
7336,1534,1098
7336,1050,2000
7336,1504,2908
7336,2420,2990
7336,2958,2106
7336,2608,1150
7336,1612,1044
7336,1094,1868
7336,1694,2836
7336,2616,2886
7336,2842,1962
7336,2418,962
7336,1358,754
7336,770,1604
7336,1340,2714
7336,2326,2860
7336,2820,2026
7336,2458,1036
7336,1484,814
7336,892,1620
7336,1452,2636
7336,2330,2784
7336,2950,2006
7336,2618,1022
7336,1510,816
7336,902,1608
7336,1332,2656
7336,2188,2898
7336,2834,2190
7336,2624,1236
7336,1672,914
7336,996,1612
7336,1198,2564
7336,2214,2968
7336,3000,2410
7336,2886,1424
7336,1982,1070
7336,1284,1682
7336,1388,2676
7336,2168,3038
7336,2792,2560
7336,2780,1636
7336,2072,1128
7336,1194,1408
7336,1174,2446
7336,1818,3086
7336,2672,2912
7336,3064,2058
7336,2600,1230
7336,1582,1148
7336,984,1872
7336,1502,2876
7336,2228,3186
7336,2902,2612
7336,3044,1684
7336,2304,1142
7336,1442,1372
7336,1150,2168
7336,1678,3012
7336,2540,3090
7336,2944,2430
7336,2804,1572
7336,2124,1184
7336,1362,1494
7336,1328,2438
7336,1986,3160
7336,2714,3178
7336,3204,2536
7336,3068,1582
7336,2336,998
7336,1450,1164
7336,1088,1992
7336,1302,2850
7336,1954,3164
7336,2590,2912
7336,2944,2162
7336,2772,1366
7336,2078,950
7336,1344,1102
7336,910,1736
7336,1244,2572
7336,1830,3042
7336,2382,2904
7336,2836,2330
7336,2872,1604
7336,2430,1130
7336,1678,982
7336,1162,1392
7336,1060,2082
7336,1390,2676
7336,2022,3014
7336,2678,2864
7336,2992,2322
7336,2906,1678
7336,2544,1190
7336,1926,1058
7336,1374,1278
7336,1088,1762
7336,1122,2328
7336,1516,2766
7336,1872,2892
7336,2432,2766
7336,2766,2404
7336,2922,1930
7336,2716,1418
7336,2226,1096
7336,1706,1032
7336,1322,1276
7336,1064,1724
7336,1114,2240
7336,1456,2710
7336,1752,2912
7336,2150,2920
7336,2444,2774
7336,2718,2498
7336,2822,2164
7336,2880,1748
7336,2654,1338
7336,2400,1070
7336,1988,970
7336,1602,1054
7336,1252,1232
7336,1042,1604
7336,932,1928
7336,882,2230
7336,1096,2568
7336,1320,2802
7336,1676,2994
7336,1918,2988
7336,2176,2920
7336,2592,2834
7336,2768,2680
7336,2656,2398
7336,2650,2144
7336,2534,1858
7336,2642,1684
7336,2614,1486
7336,2502,1278
7336,2474,1158
7336,2364,1110
7336,2162,1076
7336,1998,1060
7336,1774,1014
7336,1528,980
7336,1450,1072
7336,1438,1258
7336,1372,1358
7336,1250,1420
7336,1150,1414
7336,1166,1492
7336,1226,1652
7336,1286,1766
7336,1186,1730
7336,1192,1820
7336,1236,1888
7336,1350,2006
7336,1450,2022
7336,1474,2048
7336,1578,2122
7336,1670,2104
7336,1726,2106
7336,1742,2018
7336,1854,2028
7336,1944,2026
7336,2048,2024
7336,2154,2022
7336,2232,1998
7336,2344,1966
7336,2360,1880
7336,2430,1870
7336,2488,1818
7336,2594,1854
7336,2736,1924
7336,2930,2064
7336,3018,2164
7336,3086,2256
7336,3092,2366
7336,3198,2550
7336,3318,2768
7336,3292,2966
7336,3108,3102
7336,2940,3254
7336,2750,3406
7336,2568,3522
7336,2342,3536
7336,1928,3422
7336,1578,3260
7336,1358,3062
7336,1222,2862
7336,1172,2556
7336,1046,2116
7336,1060,1694
7336,1252,1362
7336,1568,1160
7336,1948,1122
7336,2412,1218
7336,2726,1418
7336,2958,1778
7336,2878,2158
7336,2882,2582
7336,2782,2960
7336,2302,3150
7336,1672,3014
7336,1128,2772
7336,936,2408
7336,1000,2038
7336,1120,1516
7336,1386,1130
7336,1906,1024
7336,2432,1136
7336,2854,1522
7336,3054,2012
7336,2964,2496
7336,2314,2774
7336,1964,2918
